City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Month,Temperature,Humidity,Wind_Speed
Ahmedabad,2015-01-29,0.5371387937164651,0.4339797605128412,0.16634522661523624,0.37231627424271907,0.4525567037981479,0.29503018239252254,1.0,1.0,0.7083160452848085,0.002871500358937545,0.0,1.0,0.5084306095979247,Poor,1,0.18829516539440205,0.21500000000000008,0.23595505617977527
Ahmedabad,2015-01-30,0.5158704505785765,0.4339797605128412,0.3331726133076181,0.3719270934682493,0.5513353912226546,0.29503018239252254,1.0,1.0,1.0000000000000002,0.00574300071787509,0.0,1.0,0.8171206225680934,Very Poor,1,0.2798982188295166,0.1975,0.2752808988764045
Ahmedabad,2015-01-31,0.6107699269506756,0.4339797605128412,0.5872709739633557,0.42355840954790164,0.7060797208428399,0.29503018239252254,1.0,1.0,1.0000000000000002,0.03445800430725054,0.0005981308411214954,1.0,0.9999999999999999,Severe,1,0.18320610687022904,0.19000000000000017,0.42696629213483145
Ahmedabad,2015-02-01,0.8788544831598681,0.4339797605128412,1.0,0.5457611727314003,1.0,0.29503018239252254,1.0,1.0,1.0000000000000002,0.0574300071787509,0.0023925233644859815,1.0,0.9999999999999999,Severe,2,0.22391857506361323,0.3250000000000002,0.47752808988764045
Ahmedabad,2015-02-02,1.0,0.4339797605128412,1.0,0.4579360446260622,0.9770500603945779,0.29503018239252254,1.0,1.0,1.0000000000000002,0.06604450825556353,0.003588785046728972,1.0,0.9999999999999999,Severe,2,0.18829516539440205,0.03750000000000009,0.37640449438202245
Ahmedabad,2015-02-03,0.9028379339323809,0.4339797605128412,0.7372227579556412,0.3682947395731984,0.7613743121728627,0.29503018239252254,1.0,1.0,0.8723845652302771,0.024407753050969132,0.001794392523364486,1.0,0.9999999999999999,Severe,2,0.12468193384223919,0.34250000000000025,0.4382022471910112
Ahmedabad,2015-02-04,0.5211067295882087,0.4339797605128412,0.05641272902603664,0.2960368424466498,0.322104415514696,0.29503018239252254,0.8449197860962568,0.8761710100493953,0.5606069586865037,0.0,0.0,0.0,0.728923476005188,Poor,2,0.2468193384223919,0.18000000000000016,0.18539325842696627
Ahmedabad,2015-02-05,0.37701208869351605,0.4339797605128412,0.06195756991321118,0.2773561652721022,0.3128439135686485,0.29503018239252254,0.9269162210338683,1.0,0.6345800486041138,0.0,0.0,0.0,0.35278858625162124,Moderate,2,0.25699745547073793,0.39749999999999996,0.25280898876404495
Ahmedabad,2015-02-06,0.5123149524856164,0.4339797605128412,0.027242044358727093,0.34935460854900435,0.36008589451080386,0.29503018239252254,0.41354723707664887,1.0,0.7028629008357539,0.0,0.0,0.0,0.4591439688715953,Moderate,2,0.12468193384223919,0.37250000000000005,0.1797752808988764
Ahmedabad,2015-02-07,0.5731462925851704,0.4339797605128412,0.17502410800385726,0.40617500162158654,0.5063749832237283,0.29503018239252254,1.0,1.0,0.5304961175982457,0.0,0.0,0.0,0.6070038910505836,Poor,2,0.21119592875318066,0.2300000000000002,0.5
