PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Month,Temperature,Humidity,Wind_Speed,AQI
0.1407330790613485,0.3170987380558803,0.2931533269045323,0.3079717195303885,0.3042544624882566,0.3764685518942426,0.5846702317290553,0.401635155850792,0.3442593800011855,0.0129217516152189,0.0041869158878504,0.0,9,0.4096692111959288,0.9700000000000002,0.6966292134831461,0.2101167315175097
0.1053720343913633,0.205096157722856,0.0204918032786885,0.1105273399494065,0.0699235002013152,0.6212163828728445,0.1105169340463458,0.2701413728495997,0.4981328907592912,0.416367552045944,0.0233271028037383,0.0,6,0.4936386768447838,0.8375000000000001,0.3314606741573034,0.178988326848249
0.4604046803283987,0.403620529774624,0.0942622950819671,0.1982227411299215,0.0601261575627432,0.51407429844869,0.8663101604278077,0.2544711292795095,0.5208938415031714,0.1349605168700646,0.055626168224299,0.5416666666666679,6,0.4300254452926209,0.7149999999999999,0.6853932584269662,0.4565499351491569
0.2124248496993988,0.2615006249244043,0.0216972034715525,0.0695336317052604,0.0484498725003355,0.0747744434107185,0.2388591800356506,0.0827797649463464,0.634935688459487,0.1751615218951902,0.2015700934579439,0.5416666666666679,2,0.2468193384223919,0.3025000000000002,0.196629213483146,0.1686121919584954
0.7107763914926627,1.0,1.0,0.7225789712654862,1.0,0.7659187779917351,0.5062388591800357,0.6986884687446773,0.6157311362693382,0.4580043072505384,0.4282616822429906,0.0,3,0.6717557251908397,0.2400000000000002,0.2415730337078651,0.5473411154345006
0.3181201111901222,0.4582913357255171,0.228784956605593,0.4462606213919698,0.4152462756676956,0.3671217464679028,0.3172905525846702,0.1958780446261284,0.4830774702151622,0.1737257717157214,0.261981308411215,0.5416666666666679,4,0.7099236641221375,0.5875000000000001,0.1629213483146067,0.2568093385214007
1.0,0.4339797605128412,1.0,0.5482259843030421,1.0,0.2950301823925225,1.0,1.0,0.7039298204018734,1.0,0.5957383177570095,1.0,3,0.6615776081424937,0.31,0.6235955056179775,1.0
0.1343331824940203,0.4339797605128412,0.7596432015429121,0.6902769669844976,0.6643403569990605,0.2950301823925225,1.0,1.0,0.4703929820401874,0.5656855707106964,0.9582056074766356,0.0,9,0.4732824427480916,0.7550000000000001,0.5337078651685393,1.0
0.4658348955976469,0.6871346208119985,0.2256509161041465,0.5661282999286502,0.491880284525567,0.4244142019515784,0.680926916221034,0.0855050246976664,0.6534289609388895,0.2871500358937545,0.3588785046728972,1.0,10,0.534351145038168,0.2724999999999999,0.2191011235955056,0.3942931258106355
0.4586592539918546,0.8858202636777809,0.2606075216972034,0.5849387040280211,0.1756811166286404,0.4110863497695753,0.089126559714795,0.7637540453074434,0.6732262462213268,0.037329504666188,0.0921121495327102,0.0,4,0.8091603053435116,0.2425000000000001,0.4606741573033707,0.4617380025940337
0.4648005688796948,0.4339797605128412,0.4175506268081003,1.0,0.8174741645416722,0.2950301823925225,1.0,0.8765116675183103,0.0239464169284571,0.9318018664752332,1.0,1.0,7,0.4605597964376591,0.8350000000000002,0.5224719101123596,0.913099870298314
